Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
68,0.0,0.0,1.0,1030.0,1030.0,4.0,515.0,0.5,,,0.0,81.9310245513916,,,,,,,,,,,,,,,,,,,,,2.064188934253294,0.9216882602942463,3.2999973836824417,0.8268537187065245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0.0,0.0,1.0,1044.0,1044.0,7.0,522.0,0.5,,,0.0,82.98563408851624,,,,,,,,,,,,,,,,,,,,,3.692125136567701,1.8444217696733678,6.457052662023783,0.9239670397526109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0,0.0,1.0,1058.0,1058.0,7.0,529.0,0.5,,,0.0,83.9970269203186,,,,,,,,,,,,,,,,,,,,,3.6301422933730216,1.8163140992442974,6.354045799900046,0.9058862948345038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0.0,0.0,1.0,1068.0,1068.0,5.0,534.0,0.5,,,0.0,84.94975638389587,,,,,,,,,,,,,,,,,,,,,2.592450979230657,1.2238024398690182,4.3235528274530335,0.8623230736748088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.0,0.0,1.0,1090.0,1090.0,11.0,545.0,0.5,,,0.0,86.36703824996948,,,,,,,,,,,,,,,,,,,,,4.9964308847101755,2.6258790267176195,9.140755118948416,0.8361558323263134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0.0,0.0,1.0,1106.0,1106.0,8.0,553.0,0.5,,,0.0,87.50898551940918,,,,,,,,,,,,,,,,,,,,,3.8577276660935755,1.9616614817138405,6.851741409303295,0.8592003400336363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0.0,0.0,1.0,1122.0,1122.0,8.0,561.0,0.5,,,0.0,88.52892541885376,,,,,,,,,,,,,,,,,,,,,3.798345551339329,1.9301010061632677,6.74230004257181,0.84621965107491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.0,0.0,1.0,1134.0,1134.0,6.0,567.0,0.5,,,0.0,89.49572992324829,,,,,,,,,,,,,,,,,,,,,3.4827452564645895,1.6974849799736422,5.965267766807765,0.9960119603418903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0,0.0,1.0,1164.0,1164.0,15.0,582.0,0.5,,,0.0,90.67066955566406,,,,,,,,,,,,,,,,,,,,,6.4982065014569645,3.4924123312899797,12.129893987042259,0.8169448858522811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.0,0.0,1.0,1182.0,1182.0,9.0,591.0,0.5,,,0.0,91.71278238296509,,,,,,,,,,,,,,,,,,,,,4.264702822602444,2.2050143304302443,7.681335216076489,0.8512775340519264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0.0,0.0,1.0,1194.0,1194.0,6.0,597.0,0.5,,,0.0,92.66117739677429,,,,,,,,,,,,,,,,,,,,,3.1374362423832287,1.530557928801707,5.377062500223044,0.8962617667095099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0,0.0,1.0,1202.0,1202.0,4.0,601.0,0.5,,,0.0,93.55898833274841,,,,,,,,,,,,,,,,,,,,,2.1408308049368925,0.9551682954119671,3.4215124574919913,0.8584917932389391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.0,0.0,1.0,1218.0,1218.0,8.0,609.0,0.5,,,0.0,94.57050943374634,,,,,,,,,,,,,,,,,,,,,4.3879671423666045,2.234432057325768,7.799988364303959,0.9747247095548632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.0,0.0,1.0,1236.0,1236.0,9.0,618.0,0.5,,,0.0,95.62198448181152,,,,,,,,,,,,,,,,,,,,,4.077977383663674,2.1077257315736966,7.341364302383045,0.8127917474519227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
